rank,title,duration,genres,directors,cast,synopsis,rating
197,Toy Story,1h 17min,"Animation,
Comédie,
Famille","De
John Lasseter","Avec
Richard Darbois,
Tim Allen,
Jacques Ferrière","Quand Andy quitte sa chambre, ses jouets se mettent à mener leur propre vie sous la houlette du cowboy Woody. Débarque alors Buzz l'éclair, intrépide aventurier de l'espace venu d'une lointaine galaxie, qui va semer la zizanie dans ce petit monde.",4.0
198,Philadelphia,2h 05min,Drame,"De
Jonathan Demme","Avec
Tom Hanks,
Denzel Washington,
Mary Steenburgen",Un jeune avocat atteint du sida doit engager un petit avocat pour attaquer son cabinet pour licenciement abusif.,3.6
199,Jurassic Park,2h 02min,"Aventure,
Science Fiction","De
Steven Spielberg","Avec
Sam Neill,
Laura Dern,
Jeff Goldblum",C'est à partir d'une goutte de sang absorbée par un moustique fossilisé que John Hammond et son équipe ont réussi à faire renaître une dizaine d'espèces de dinosaures.,3.4
200,Le Prestige,2h 08min,"Drame,
Thriller","De
Christopher Nolan","Avec
Hugh Jackman,
Christian Bale,
Michael Caine","Londres, au début du siècle dernier... Robert Angier et Alfred Borden sont deux magiciens surdoués, promis dès leur plus jeune âge à un glorieux avenir. L'émulation tournera vite à la jalousie, puis à la haine...",3.2
201,La Fille de Ryan,3h 15min,"Drame,
Historique,
Romance","De
David Lean","Avec
Robert Mitchum,
Trevor Howard,
Christopher Jones","Irlande. 1916. Rosy Ryan épouse le maître d'école du village, de quinze ans son aîné. Déçue par cette union, elle tombe amoureuse du major anglais venu prendre le commandement de la garnison voisine...",4.0
202,M le Maudit,1h 52min,"Policier,
Thriller","De
Fritz Lang","Avec
Peter Lorre,
Otto Wernicke,
Gustaf Gründgens","Toute la presse ne parle que de ça : le maniaque tueur d’enfants, qui terrorise la ville depuis quelques temps, vient de faire une nouvelle victime. Chargé de l’enquête, le commissaire Lohmann multiplie les rafles dans les bas-fonds.",5.0
203,Le Temps d'aimer et le temps de mourir,2h 13min,"Drame,
Historique,
Guerre","De
Douglas Sirk","Avec
John Gavin,
Liselotte Pulver,
Jock Mahoney","1944. Alors qu'il revient dans sa ville natale pour une permission, Ernst Graeber, jeune soldat allemand envoyé sur le front russe, rencontre Elisabeth Kruse, dont il tombe amoureux. Mais la guerre qui continue va bouleverser leur histoire...",4.7
204,"Le Parrain de Mario Puzo, épilogue : la mort de Michael Corleone",2h 38min,"Policier,
Drame","De
Francis Ford Coppola","Avec
Al Pacino,

Andy Garcia,
Diane Keaton","A l’occasion du 30ème anniversaire du film Le Parrain III, le réalisateur et scénariste Francis Ford Coppola a créé un nouveau montage du troisième et dernier volet du Parrain : Le Parrain de Mario Puzo, épilogue : la mort de Michael Corleone.",4.3
205,L'Aventure de Mme Muir,1h 45min,"Drame,
Fantastique,
Romance","De
Joseph L. Mankiewicz","Avec
Gene Tierney,
Rex Harrison,
George Sanders","Au début du siècle, Lucy Muir achète une étrange maison sur la côte anglaise. Etrange en effet, car la demeure est occupée par son ancien propriétaire, le capitaine Gregg. Enfin, par son fantôme...",5.0
206,The Great Debaters,2h 06min,"Biopic,
Drame","De
Denzel Washington","Avec
Denzel Washington,
Nate Parker,
Jurnee Smollett",Une histoire vraie se déroulant en 1935 dans une école américaine réservée aux Noirs.,4.3
207,L'Insulte,1h 49min,Drame,"De
Ziad Doueiri","Avec
Adel Karam,
Kamel El Basha,
Diamand Abou Abboud","A Beyrouth, de nos jours, une insulte qui dégénère conduit Toni (chrétien libanais) et Yasser (réfugié palestinien) devant les tribunaux. De blessures secrètes en révélations, l'affrontement des avocats porte le Liban au bord de l'explosion sociale mais oblige ces deux hommes à se regarder en face.",3.8
208,"America, America",2h 54min,"Biopic,
Drame,
Historique","De
Elia Kazan","Avec
Stathis Giallelis,
Frank Wolff,
Elena Karam","Au début du siècle, un jeune Anatolien fuit un pays où Grecs et Arméniens sont persécutés par les Turcs. Il désire émigrer en Amérique, mais s'aperçoit bien vite que ce périple vers la terre promise est un parcours semé d'embûches.",4.3
209,Rendez-vous,1h 37min,"Comédie,
Romance","De
Ernst Lubitsch","Avec
Margaret Sullavan,
James Stewart,
Frank Morgan","Chez Matuschek et Cie, une grande boutique de maroquinerie, le jeune Alfred Kralik, l'adjoint du patron, et Klara Novak, une nouvelle employée, vont échanger une correspondance amoureuse, sans savoir qui ils sont, à l'aide de petites annonces.",4.0
210,Rain Man,2h 13min,Comédie dramatique,"De
Barry Levinson","Avec
Dustin Hoffman,
Tom Cruise,

Valeria Golino","A la mort de son père, Charlie Babbitt, homme d'affaires pressé, hérite d'une vieille Buick qu'il convoitait depuis longtemps mais se voit spolié de quelque trois millions de francs versés à l'Institution psychiatrique Wallbrook au profit d'un bénéficiaire anonyme. Charlie se rend a Wallbrook et découvre l'heureux bénéficiaire. Il s'agit ...",3.6
211,Illusions Perdues,2h 30min,"Drame,
Historique","De
Xavier Giannoli","Avec
Benjamin Voisin,
Cécile de France,
Vincent Lacoste","Lucien est un jeune poète inconnu dans la France du XIXème siècle. Il a de grandes espérances et veut se forger un destin. Il quitte l’imprimerie familiale de sa province natale pour tenter sa chance à Paris, au bras de sa protectrice.",4.0
212,Terminator 2 : le Jugement Dernier,2h 17min,"Action,
Science Fiction","De
James Cameron","Avec
Arnold Schwarzenegger,
Linda Hamilton,
Edward Furlong","Dans cette suite, un Terminator reprogrammé est envoyé du futur afin de protéger le jeune John Connor d'un implacable cyborg protéiforme.",3.8
213,J'ai rencontré le Diable,2h 22min,"Drame,
Thriller","De
Kim Jee-Woon","Avec
Lee Byung-Hun,
Min-sik Choi,
Oh San-ha",Un agent secret recherche le serial killer qui a tué sa fiancée...,4.2
214,Je veux manger ton pancréas,1h 48min,"Animation,
Drame,
Romance","De
Shin'ichirô Ushijima","Avec
Mahiro Takasugi,
 Lynn,
Yukiyo Fujii","Sakura est une lycéenne populaire et pleine de vie. Tout l’opposé d'un de ses camarades solitaires qui, tombant par mégarde sur son journal intime, découvre qu’elle n’a plus que quelques mois à vivre... Unis par ce secret, ils se rapprochent et s'apprivoisent.",4.3
215,Hors Normes,1h 55min,Comédie,"De
Eric Toledano,
 Olivier Nakache","Avec
Vincent Cassel,
Reda Kateb,
Hélène Vincent","Bruno et Malik vivent depuis 20 ans dans un monde à part, celui des enfants et adolescents autistes. Au sein de leurs deux associations respectives, ils forment des jeunes issus des quartiers difficiles pour encadrer ces cas qualifiés ""d'hyper complexes"".",3.9
216,Soy Cuba,2h 21min,Drame,"De
Mikhail Kalatozov","Avec
Luz Maria Collazo,
José Gallardo,
Raul Garcia (III)","A travers quatre histoires qui renforcent l'idéal communiste face à la mainmise du capitalisme, ""Soy Cuba"" dépeint la lente évolution de Cuba du régime de Batista jusqu'à la révolution castriste.",4.1
217,Panique,1h 31min,"Policier,
Drame","De
Julien Duvivier","Avec
Michel Simon,
Viviane Romance,
Lucas Gridoux","Monsieur Hire est un homme que les villageois jugent comme bizarre et presque inquiétant. Lorsqu'un crime est commis, le vrai coupable cherche donc à faire porter le chapeau à ce coupable idéal.",4.3
218,Sur la route de Madison,2h 15min,"Drame,
Romance","De
Clint Eastwood","Avec
Meryl Streep,
Clint Eastwood,
Annie Corley","Michael Johnson et sa soeur Caroline reviennent dans la ferme de leur enfance régler la succession de leur mère, Francesca. Ils vont découvrir tout un pan de la vie de leur mère ignoré de tous, sa brève, intense et inoubliable liaison avec un photographe de passage.",4.6
219,The Normal Heart,2h 12min,Drame,"De
Ryan Murphy","Avec
Mark Ruffalo,
Julia Roberts,
Matt Bomer","Une adaptation de la pièce The Normal Heart, qui décrit la montée en puissance du virus du sida dans les années 80 et le combat d'un écrivain-activiste, Ned Weeks, fondateur d'un groupe d'aide luttant contre la maladie.",4.3
220,Dune,2h 36min,"Drame,
Science Fiction","De
Denis Villeneuve","Avec
Timothée Chalamet,
Rebecca Ferguson,
Oscar Isaac","L'histoire de Paul Atreides, voué à connaître un destin hors du commun qui le dépasse totalement. Car s'il veut préserver l'avenir de sa famille et de son peuple, il devra se rendre sur la planète la plus dangereuse de l'univers.",4.0
221,Avatar : la voie de l'eau,3h 12min,"Action,
Aventure,
Fantastique","De
James Cameron","Avec
Sam Worthington,
Zoe Saldana,
Sigourney Weaver","Se déroulant plus d’une décennie après les événements relatés dans le premier film, AVATAR : LA VOIE DE L’EAU raconte l'histoire des membres de la famille Sully (Jake, Neytiri et leurs enfants), les épreuves auxquelles ils sont confrontés, les chemins qu’ils doivent emprunter pour se protéger les uns les autres, les batailles qu’ils doivent mener pour rester en vie et les tragédies qu'ils endurent.",4.1
222,Papillon,2h 25min,"Aventure,
Biopic,
Drame","De
Franklin J. Schaffner","Avec
Steve McQueen,
Dustin Hoffman,
Victor Jory","Henri ""Papillon"" Charrière, un malfrat de petite envergure, est jugé à tort pour un meurtre qu'il n'a pas commis. Celui-ci est condamné à vie dans une prison d'une colonie française : le bagne de Cayenne.",4.0
223,Printemps tardif,1h 48min,Drame,"De
Yasujirô Ozu","Avec
Chishû Ryû,
Setsuko Hara,
Yumeji Tsukioka","Noriko, une jeune femme âgée d’une vingtaine d’années, vit avec son père veuf, Shukichi. Alors que Noriko s'apprête à s'installer seule, père et fille décident de faire un dernier voyage ensemble…",4.3
224,Les Diaboliques,1h 57min,"Drame,
Epouvante-horreur,
Thriller","De
Henri-Georges Clouzot","Avec
Simone Signoret,
Vera Clouzot,
Paul Meurisse","Dans une institution destinée à l'éducation des jeunes garçons, Christina et Nicole, respectivement épouse et maîtresse du directeur Michel Delasalle, s'associent afin d'assassiner l'homme qu'ells ont fini par haïr. Mais quelques jours après leur méfait, le corps de Michel disparaît...",4.3
225,La Trilogie Marseillaise de Marcel Pagnol : Marius,2h 10min,"Comédie,
Comédie dramatique,
Romance","De
Alexander Korda,
Marcel Pagnol","Avec
 Raimu,
Pierre Fresnay,
Fernand Charpin","Marseille – Le bar de la Marine – Marius est un jeune homme que la mer exalte. Il aime son père César, bourru et bonhomme, il aime aussi la petite Fanny qui vend des coquillages devant le bar de César. Depuis son enfance, l’envie de courir le monde l’enflamme.",4.3
226,Midnight Express,2h 00min,Drame,"De
Alan Parker","Avec
Brad Davis,
Irene Miracle,
Bo Hopkins","Billy Hayes est arrêté à Istanbul pour avoir sur lui quelques grammes de hashisch. Condamné à perpétuité, il est enfermé dans des geôles d'une extrême inhumanité.",2.0
227,Silent Voice,2h 09min,"Animation,
Drame,
 Romance","De
Naoko Yamada","Avec
Miyu Irino,
Saori Hayami,
Aoi Yūki","Nishimiya est une élève douce et attentionnée. Chaque jour, pourtant, elle est harcelée par Ishida, car elle est sourde. Dénoncé pour son comportement, le garçon est à son tour mis à l'écart et rejeté par ses camarades. Des années plus tard, il apprend la langue des signes... et part à la recherche de la jeune fille.",3.7
228,Slumdog Millionaire,2h 00min,"Comédie,
Comédie dramatique,
Romance","De
Loveleen Tandan,
Danny Boyle","Avec
Dev Patel,
Freida Pinto,
Mia Drake","Le récit pittoresque d'un jeune homme issu des bidonvilles de Mumbai en passe de gagner le jeu télévisé ""Qui veut gagner des millions"".",3.5
229,Klaus,1h 36min,Animation,"De
Sergio Pablos","Avec
Alex Lutz,
Jason Schwartzman,
Ludivine Sagnier",Un jeune facteur affecté à une sinistre petite ville glacée du pôle Nord découvre que le père Noël s'y cache.,4.2
230,Ordet,2h 06min,Drame,"De
Carl Theodor Dreyer","Avec
Henrik Malberg,
Emil Hass Christensen,
Preben Lerdorff Rye","En 1930, dans un village du Jutland, des discordes religieuses surviennent entre deux familles lorsqu'il est question d'unir par le mariage deux de leurs enfants.",4.3
231,Impitoyable,2h 11min,"Drame,
Western","De
Clint Eastwood","Avec
Clint Eastwood,
Gene Hackman,
Morgan Freeman","Kansas 1880. William Munny, redoutable hors-la-loi reconverti dans l'élevage va, à la demande d'un jeune tueur, reprendre du service pour venger une prostituée défigurée par un cow-boy sadique.",4.8
232,Certains l'aiment chaud,2h 01min,"Comédie,
Romance","De
Billy Wilder","Avec
Marilyn Monroe,
Tony Curtis,
Jack Lemmon","Deux musiciens de jazz au chômage, mêlés involontairement à un règlement de comptes entre gangsters, se transforment en musiciennes pour leur échapper. Ils partent en Floride avec un orchestre féminin. Ils tombent amoureux d'une ravissante créature.",3.2
233,Le Loup de Wall Street,2h 59min,"Biopic,
Drame","De
Martin Scorsese","Avec
Leonardo DiCaprio,
Jonah Hill,
Margot Robbie","L’argent. Le pouvoir. Les femmes. La drogue. Les tentations étaient là, à portée de main, et les autorités n’avaient aucune prise. Aux yeux de Jordan et de sa meute, la modestie était devenue complètement inutile. Trop n’était jamais assez…",4.0
234,Lawrence d'Arabie,3h 36min,"Aventure,
Biopic","De
David Lean","Avec
Peter O'Toole,
Alec Guinness,
Omar Sharif","Le destin hors du commun de l'officier britannique T. E. Lawrence, qui mena la révolte arabe contre l'occupant turc au cours de la Première Guerre mondiale. Adapté des Sept Piliers de la sagesse, son récit autobiographique.",4.4
235,Un Condamné à mort s'est échappé,1h 39min,Drame,"De
Robert Bresson","Avec
François Leterrier,
Charles Le Clainche,
Maurice Beerblock","Conduit en 1943 au fort de Montluc pour y être exécuté par les Allemands, le lieutenant Fontaine parvient à s'échapper en compagnie d'un autre prisonnier, Jost.",4.2
236,Loulou,2h 13min,Drame,"De
Georg Wilhelm Pabst","Avec
Louise Brooks,
Fritz Kortner,
Franz Lederer","Loulou, belle, capricieuse, insouciante et innocemment perverse, est une créature qui ne vit que pour l'amour. Elle joue dans une revue que commandite son amant, Ludwig Schön, un puissant magnat de la presse et du music-hall...",
237,Love Exposure,3h 57min,"Action,
Comédie,
Drame","De
Sion Sono","Avec
Makiko Watanabe,
Itsuji Itao,

Takahiro Nishijima","Fils d’un prêtre respecté, Yu intègre un groupe de pervers professionnels afin de vivre dans le péché. Malgré une vie de débauche, le jeune homme ne désespère pas de trouver l’âme soeur.",4.2
238,Pupille,1h 50min,Drame,"De
Jeanne Herry","Avec
Sandrine Kiberlain,
Gilles Lellouche,
Élodie Bouchez",Théo est remis à l'adoption par sa mère biologique le jour de sa naissance. C'est un accouchement sous X. La mère à deux mois pour revenir sur sa décision...ou pas. Les services de l'aide sociale à l'enfance et le service adoption se mettent en mouvement.,4.3
239,Une merveilleuse histoire du temps,2h 03min,"Biopic,
Drame","De
James Marsh","Avec
Eddie Redmayne,
Felicity Jones,
Tom Prior","1963, en Angleterre, Stephen, brillant étudiant en Cosmologie à l’Université de Cambridge, entend bien donner une réponse simple et efficace au mystère de la création de l’univers. De nouveaux horizons s’ouvrent quand il tombe amoureux d’une étudiante en art, Jane Wilde.",3.3
240,Old Boy,1h 59min,"Action,
Drame,

Thriller","De
Park Chan-Wook","Avec
Min-sik Choi,
Yoo Ji-tae,
Kang Hye-Jeong","Fin des années 80. Un père de famille est enlevé sans raison et séquestré dans une cellule. Il apprend par la télévision de sa cellule qu'il est accusé du meurtre de sa femme. Relâché 15 ans plus tard, il est contacté par celui qui l'avait enlevé.",4.0
241,Star Wars : Episode III - La Revanche des Sith,2h 20min,"Action,
Aventure,
Science Fiction","De
George Lucas","Avec
Hayden Christensen,
Ewan McGregor,
Natalie Portman","La Guerre des Clones fait rage. Une franche hostilité oppose désormais le Chancelier Palpatine au Conseil Jedi. Anakin Skywalker, jeune Chevalier Jedi pris entre deux feux, hésite sur la conduite à tenir...",3.9
242,La Belle équipe,1h 35min,Comédie dramatique,"De
Julien Duvivier","Avec
Jean Gabin,
Charles Vanel,

Raymond Aimos","Cinq ouvriers chômeurs parisiens, Jean, Charles, Raymond, Jacques et Mario, un étranger menacé d'expulsion, gagnent le gros lot de la loterie nationale. Jean a l'idée de placer cet argent en commun, dans l'achat d'un vieux lavoir de banlieue en ruine, qu'ils transformeront en riante guinguette...",4.2
243,Le Gouffre aux chimères,1h 51min,Drame,"De
Billy Wilder","Avec
Kirk Douglas,
Jan Sterling,
Porter Hall","Charles Tatum, journaliste sans scrupules, va exploiter un scoop. Au Nouveau-Mexique, Léo Minosa, un Indien, est coincé au fond d'une galerie effondrée. S'arrangeant pour être le seul journaliste sur le coup, Tatum va persuader le shérif de choisir la formule de sauvetage la plus lente.",4.3
244,Metropolis,2h 33min,"Science Fiction,
Thriller","De
Fritz Lang","Avec
Brigitte Helm,
Alfred Abel,
Rudolf Klein-Rogge",Des ouvriers travaillent dans les souterrains d'une fabuleuse métropole de l'an 2026. Ils assurent le bonheur des nantis qui vivent dans les jardins suspendus de la ville. Un androïde mène les ouvriers vers la révolte.,4.8
245,Divorce à l'Italienne,1h 44min,"Comédie,
Drame,
Romance","De
Pietro Germi","Avec
Marcello Mastroianni,
Daniela Rocca,

Stefania Sandrelli","Ferdinando Cefalu, un noble sicilien, est amoureux de sa jeune cousine, Angela. Mais il est marié à Rosalia, une femme insupportable, et le divorce est illégal en Italie... Plein de ressources, Ferdinando concocte donc un "" divorce à l'italienne "" : pousser sa femme dans les bras d'un amant.",4.0
246,Les Forbans de la nuit,1h 35min,"Policier,
Drame","De
Jules Dassin","Avec
Richard Widmark,
Gene Tierney,
Googie Withers",Londres. Un petit escroc veut organiser de grands combats de catch. Il se heurte au chef de gang qui a un contrôle absolu sur ces manifestations. C'est alors une course folle dans les bas-fonds de Londres.,4.2
247,Les Plus belles années de notre vie,2h 52min,"Drame,
Guerre","De
William Wyler","Avec
Myrna Loy,
Fredric March,
Dana Andrews","En 1945, trois soldats démobilisés font connaissance dans l'avion qui les ramène dans leur ville natale. Leurs sentiments sont partagés entre l'impatience et l'appréhension. Ils ne tardent pas à reprendre contact avec la réalité quotidienne...",5.0
248,Brève Rencontre,1h 26min,"Drame,
Romance","De
David Lean","Avec
Celia Johnson,
Trevor Howard,
Cyril Raymond","Dans le café-buffet de la gare de Milford, un homme et une femme se disent adieu. Troublée par l’arrivée fortuite d’une amie encombrante, Laura, la femme, fait un malaise au moment où l’homme la quitte pour prendre son train.",4.2
249,Qu'est-il arrivé à Baby Jane ?,2h 14min,"Drame,
Thriller","De
Robert Aldrich","Avec
Bette Davis,
Joan Crawford,
Victor Buono","Jane, actrice de second plan, envie la gloire de sa soeur, Blanche, star du grand écran. Quelques années plus tard, Jane aigrie et usée terrorise et sequestre Blanche dont la carrière a été stoppée par une infirmité.",4.2
250,Dragons 3 : Le monde caché,1h 44min,"Aventure,
Animation,
Famille","De
Dean DeBlois","Avec
Donald Reignoux,
Jay Baruchel,
Florine Orphelin","Harold est maintenant le chef de Berk au côté d’Astrid et Krokmou, en tant que dragon, est devenu le leader de son espèce. Ils réalisent enfin leurs rêves de vivre en paix entre vikings et dragons. Mais lorsque l’apparition soudaine d’une Furie Eclair coïncide avec la plus grande menace que le village n’ait jamais connue, Harold et Krokmou sont forcés de quitter leur village pour un voyage dans un monde caché...",3.9
251,Le Dîner de cons,1h 20min,Comédie,"De
Francis Veber","Avec
Thierry Lhermitte,

Jacques Villeret,
Francis Huster","Tous les mercredis, Pierre Brochant et ses amis organisent un dîner où chacun doit amener un con. Celui qui a trouvé le plus spectaculaire est declaré vainqueur. Ce soir, Brochant exulte, il est sur d'avoir trouvé la perle rare, un con de classe mondiale: Francois Pignon, comptable au ministère des Finances et passionné de modèles réduits ...",4.2
252,Mystic River,2h 17min,"Policier,
Drame,

Thriller","De
Clint Eastwood","Avec
Tim Robbins,
Kevin Bacon,
Laurence Fishburne","Trois amis d'enfance se perdent de vue. 25 ans plus tard, une affaire de meurtre les réunit à nouveau. La fille de Jimmy est retrouvée assassinée. Le père endeuillé rêve de se venger et Sean, affecté à l'enquête, croit connaître le coupable...",4.7
253,Les Salauds dorment en paix,2h 31min,"Drame,
Thriller","De
Akira Kurosawa","Avec
Toshirô Mifune,
Masayuki Mori (I),
Kyôko Kagawa","Dans les salons d’un grand hôtel, Iwabuchi, président d’une importante société immobilière, marie sa fille Yoshiko à Nishi, son secrétaire particulier. Mais alors que l’on s’apprête à couper la pièce montée, un second gâteau en forme d’immeuble, dont une fenêtre est tachée de rouge, est apporté...",4.5
254,Chaînes conjugales,1h 43min,Comédie dramatique,"De
Joseph L. Mankiewicz","Avec
Jeanne Crain,
Linda Darnell,
Ann Sothern","Deborah Bishop, Rita Phipps et Laura May Hollingsway partent en croisière laissant leurs maris respectifs. Mais avant de partir, elles reçoivent une lettre d'une de leur amie commune, Addie Ross, dans laquelle elle prévient qu'elle part avec le mari de l'une d'entre elles. Mais lequel ?",5.0
255,Hasta la vista,1h 53min,Comédie dramatique,"De
Geoffrey Enthoven","Avec
Robrecht Vanden Thoren,
Johan Heldenbergh,
Gilles De Schrijver","Trois jeunes handicapés physiques d’une vingtaine d’années aiment le vin et les femmes, mais ils sont encore vierges. Sous prétexte d’une route des vins, ils embarquent pour un voyage en Espagne dans l’espoir d’avoir leur première expérience sexuelle.",3.5
256,Mademoiselle,2h 31min,"Drame,
Romance","De
Park Chan-Wook","Avec
Kim Min-Hee,
Tae-ri Kim,
Jung-woo Ha","Corée. Années 30, pendant la colonisation japonaise. Une jeune femme est engagée comme servante d’une riche japonaise, vivant recluse dans un immense manoir sous la coupe d’un oncle tyrannique. Mais Sookee a un secret.",3.8
257,HEIMAT II – L’exode,3h 51min,"Drame,
Historique","De
Edgar Reitz","Avec
Jan Dieter Schneider,
Antonia Bill,
Maximilian Scheidt","1842-1844, L’histoire de la famille Simon. Les coups du destin risquent de détruire cette famille mais c’est une histoire de courage et de foi en l’avenir.",4.2
258,La Garçonnière,2h 05min,"Comédie dramatique,
Romance","De
Billy Wilder","Avec
Jack Lemmon,
Shirley MacLaine,
Fred MacMurray","C.C. Baxter est employé à la Sauvegarde, grande compagnie d'assurance. Dans l'espoir d'un avancement il prête souvent son appartement à ses supérieurs qui y emmènent leurs petites amies. Un jour le chef du personnel le convoque et lui apprend qu'il sait tout...",3.9
259,Au nom du père,2h 13min,Drame,"De
Jim Sheridan","Avec
Daniel Day-Lewis,
Pete Postlethwaite,
Emma Thompson","En 1975, Gerry Conlon, jeune délinquant originaire de Belfast, est arrêté par la police londonienne qui l'accuse d'être l'instigateur des attentats terroristes à Guildford pour le compte de l'IRA.",3.6
260,Ready Player One,2h 20min,"Action,
Science Fiction","De
Steven Spielberg","Avec
Tye Sheridan,
Olivia Cooke,

Ben Mendelsohn","2045. Le monde est au bord du chaos. Les êtres humains se réfugient dans l'OASIS, univers virtuel mis au point par le brillant et excentrique James Halliday. Avant de disparaître, celui-ci a décidé de léguer son immense fortune à quiconque découvrira l'œuf de Pâques numérique qu'il a pris soin de dissimuler dans l'OASIS.",4.0
261,Soul,1h 40min,"Aventure,
Animation,
Famille","De
Pete Docter,
Kemp Powers","Avec
Omar Sy,
Jamie Foxx,
Camille Cottin","Au moment où Joe pense que son rêve est désormais à portée de main, un pas malencontreux l’expédie dans un endroit fantastique où il est obligé de réfléchir à nouveau à la signification d’avoir une âme. C’est là qu’il se lie d’amitié avec 22, une âme qui ne pense pas que la vie sur Terre soit aussi bien que ce qu’on veut bien lui faire croire...",4.3
262,Pride,2h 00min,"Comédie,
Drame","De
Matthew Warchus","Avec
Bill Nighy,
Imelda Staunton,
Paddy Considine","Eté 1984 - Margaret Thatcher est au pouvoir et l’Union Nationale des Mineurs est en grève. Lors de la Gay Pride à Londres, un groupe d’activistes gay et lesbien décide de récolter de l’argent pour venir en aide aux familles des mineurs en grève.",3.7
263,Le Salaire de la Peur,2h 31min,"Aventure,
Thriller","De
Henri-Georges Clouzot","Avec
Yves Montand,
Charles Vanel,
Peter van Eyck","Quatre hommes acceptent de véhiculer, au péril de leur vie, un chargement de nitroglycérine sur cinq cents kilomètres de routes défoncées. L'énorme prime de ce ""quitte ou double"" périlleux est le seul moyen de quitter le village d'Amérique centrale dans lequel ils ont échoué.",4.2
264,Violet Evergarden - le film,2h 21min,"Animation,
Drame,
Fantastique","De
Taichi Ishidate","Avec
Yui Ishikawa,
Daisuke Namikawa,
Takehito Koyasu","Violet Evergarden est toujours incapable d'oublier Gilbert, son ancien supérieur hiérarchique. Un jour, alors qu'elle reçoit une demande d'un jeune client, CH Postal découvre une lettre sans adresse dans leur entrepôt.",2.7
265,The Grand Budapest Hotel,1h 40min,"Comédie,
Drame","De
Wes Anderson","Avec
Ralph Fiennes,

Tony Revolori,
F. Murray Abraham","Le film retrace les aventures de Gustave H, l’homme aux clés d’or d’un célèbre hôtel européen de l’entre-deux-guerres et du garçon d’étage Zéro Moustafa, son allié le plus fidèle.",4.5
266,Mary et Max.,1h 32min,"Animation,
Comédie","De
Adam Elliot","Avec
Toni Collette,
Philip Seymour Hoffman,
Eric Bana","L'amitié entre une petite fille grassouillette de 8 ans et un homme de 44 ans, obèse, atteint de la maldie d'Asperger. Tous deux vivent respectivement à Melbourne et New York.",4.3
267,American Beauty,2h 02min,Drame,"De
Sam Mendes","Avec
Kevin Spacey,
Annette Bening,
Thora Birch","Une maison de rêve, un pavillon bourgeois discrètement cossu dissimule dans une banlieue résidentielle, c'est ici que résident Lester Burnhamm, sa femme Carolyn et leur fille Jane. L'agitation du monde et sa violence semblent bien loin ici. Mais derrière cette respectable façade se tisse une étrange et grinçante tragi-comédie familiale ou ...",3.9
268,Le Nom de la Rose,2h 11min,"Aventure,
Policier,
Drame","De
Jean-Jacques Annaud","Avec
Sean Connery,

Christian Slater,
Helmut Qualtinger","En l'an 1327, dans une abbaye bénédictine, des moines disparaissent. Un franciscain, Guillaume de Baskerville aidé du jeune novice Adso von Melk mène l'enquête. C'est l'époque où l'Eglise, en pleine crise, se voit disputer son pouvoir spirituel et temporel. C'est aussi l'apogée de l'inquisition. Un thriller moyenageux très attendu ...",4.8
269,Platoon,2h 00min,"Drame,
Guerre","De
Oliver Stone","Avec
Charlie Sheen,
Tom Berenger,
Willem Dafoe","Septembre 1967: Chris Taylor, dix-neuf ans, rejoint la compagnie Bravo du 25ème régiment d'infanterie, près de la frontière cambodgienne. Chris, issu d'une famille bourgeoise s'est engagé volontairement et, plein d'idéal entend bien servir son pays.",4.6
270,Piège de cristal,2h 12min,Action,"De
John McTiernan","Avec
Bruce Willis,
Alan Rickman,
Alexander Godunov","Des terroristes investissent le siège social d'une multinationale à Los Angeles. Holly, l'ex-femme de John McClane, policier new-yorkais venu sur la côte Ouest pour Noël, est prise en otage. McLane, enfermé dans le bâtiment, passe à l'action...",3.6
271,Patients,1h 52min,"Comédie,
Drame","De
 Grand Corps Malade,
Mehdi Idir","Avec
Pablo Pauly,
Soufiane Guerrab,
Moussa Mansaly","Se laver, s'habiller, marcher, jouer au basket, voici ce que Ben ne peut plus faire à son arrivée dans un centre de rééducation suite à un grave accident. Ses nouveaux amis sont tétras, paras, traumas crâniens....",3.8
272,L'Etrange Noël de M. Jack,1h 15min,"Animation,
Fantastique,
Comédie musicale","De
Henry Selick","Avec
Chris Sarandon,
Danny Elfman,
Catherine O'Hara","Voici l'histoire de Jack Skellington, le roi des citrouilles de la ville Halloween, qui découvre un beau jour la ville de Noël et décide de célébrer lui-même cette fête étrange.",4.8
273,"3 Billboards, Les Panneaux de la vengeance",1h 56min,Drame,"De
Martin McDonagh","Avec
Frances McDormand,
Woody Harrelson,
Sam Rockwell","Après des mois sans que l'enquête sur la mort de sa fille ait avancé, Mildred Hayes prend les choses en main, affichant un message controversé visant le très respecté chef de la police sur trois grands panneaux à l'entrée de leur ville.",3.9
274,La Cité de Dieu,2h 15min,"Policier,
Drame","De
Kátia Lund,
Fernando Meirelles","Avec
Alexandre Rodrigues,
 Leandro Firmino da Hora,
Seu Jorge","Dans une favela de Rio de Janeiro, dans les années 60, Fusée, un gamin noir et pauvre, rêve de devenir photographe professionnel. Petit Dé, un enfant de 11 ans, emménage dans la Cité. Il souhaite pour sa part devenir le plus grand criminel de Rio...",3.9
